time,AT_load_actual_entsoe_transparency,forecast,Upper bound,Lower bound
7/25/2019 17:00,8172,,,
7/25/2019 18:00,8107,,,
7/25/2019 19:00,7781,,,
7/25/2019 20:00,7436,,,
7/25/2019 21:00,7219,,,
7/25/2019 22:00,6877,,,
7/25/2019 23:00,6301,,,
7/26/2019 0:00,5957,,,
7/26/2019 1:00,5614,,,
7/26/2019 2:00,5502,,,
7/26/2019 3:00,5376,,,
7/26/2019 4:00,5509,,,
7/26/2019 5:00,5917,,,
7/26/2019 6:00,6757,,,
7/26/2019 7:00,7664,,,
7/26/2019 8:00,8053,,,
7/26/2019 9:00,8204,,,
7/26/2019 10:00,8297,,,
7/26/2019 11:00,8310,,,
7/26/2019 12:00,8054,,,
7/26/2019 13:00,7846,,,
7/26/2019 14:00,7721,,,
7/26/2019 15:00,7687,,,
7/26/2019 16:00,7708,,,
7/26/2019 17:00,7737,,,
7/26/2019 18:00,7707,,,
7/26/2019 19:00,7266,,,
7/26/2019 20:00,6918,,,
7/26/2019 21:00,6714,,,
7/26/2019 22:00,6465,,,
7/26/2019 23:00,5935,,,
7/27/2019 0:00,5651,,,
7/27/2019 1:00,5309,,,
7/27/2019 2:00,5178,,,
7/27/2019 3:00,4997,,,
7/27/2019 4:00,4981,,,
7/27/2019 5:00,5158,,,
7/27/2019 6:00,5520,,,
7/27/2019 7:00,6049,,,
7/27/2019 8:00,6473,,,
7/27/2019 9:00,6721,,,
7/27/2019 10:00,6860,,,
7/27/2019 11:00,6932,,,
7/27/2019 12:00,6727,,,
7/27/2019 13:00,6536,,,
7/27/2019 14:00,6503,,,
7/27/2019 15:00,6506,,,
7/27/2019 16:00,6520,,,
7/27/2019 17:00,6643,,,
7/27/2019 18:00,6514,,,
7/27/2019 19:00,6176,,,
7/27/2019 20:00,5989,,,
7/27/2019 21:00,5814,,,
7/27/2019 22:00,5726,,,
7/27/2019 23:00,5225,,,
7/28/2019 0:00,5007,,,
7/28/2019 1:00,4706,,,
7/28/2019 2:00,4614,,,
7/28/2019 3:00,4447,,,
7/28/2019 4:00,4401,,,
7/28/2019 5:00,4496,,,
7/28/2019 6:00,4660,,,
7/28/2019 7:00,5152,,,
7/28/2019 8:00,5570,,,
7/28/2019 9:00,5902,,,
7/28/2019 10:00,6150,,,
7/28/2019 11:00,6374,,,
7/28/2019 12:00,6263,,,
7/28/2019 13:00,6074,,,
7/28/2019 14:00,5949,,,
7/28/2019 15:00,5978,,,
7/28/2019 16:00,5997,,,
7/28/2019 17:00,6098,,,
7/28/2019 18:00,6188,,,
7/28/2019 19:00,6107,,,
7/28/2019 20:00,6080,,,
7/28/2019 21:00,5873,,,
7/28/2019 22:00,5780,,,
7/28/2019 23:00,5344,,,
7/29/2019 0:00,5111,,,
7/29/2019 1:00,4884,,,
7/29/2019 2:00,4825,,,
7/29/2019 3:00,4715,,,
7/29/2019 4:00,4854,,,
7/29/2019 5:00,5412,,,
7/29/2019 6:00,6404,,,
7/29/2019 7:00,7326,,,
7/29/2019 8:00,7872,,,
7/29/2019 9:00,8076,,,
7/29/2019 10:00,8217,,,
7/29/2019 11:00,8340,,,
7/29/2019 12:00,8084,,,
7/29/2019 13:00,7990,,,
7/29/2019 14:00,7800,,,
7/29/2019 15:00,7698,,,
7/29/2019 16:00,7552,,,
7/29/2019 17:00,7494,,,
7/29/2019 18:00,7424,,,
7/29/2019 19:00,7039,,,
7/29/2019 20:00,6798,,,
7/29/2019 21:00,6515,,,
7/29/2019 22:00,6202,,,
7/29/2019 23:00,5647,,,
7/30/2019 0:00,5366,,,
7/30/2019 1:00,5066,,,
7/30/2019 2:00,4979,,,
7/30/2019 3:00,4877,,,
7/30/2019 4:00,4976,,,
7/30/2019 5:00,5523,,,
7/30/2019 6:00,6439,,,
7/30/2019 7:00,7300,,,
7/30/2019 8:00,7735,,,
7/30/2019 9:00,7866,,,
7/30/2019 10:00,7975,,,
7/30/2019 11:00,8156,,,
7/30/2019 12:00,7986,,,
7/30/2019 13:00,7927,,,
7/30/2019 14:00,7872,,,
7/30/2019 15:00,7770,,,
7/30/2019 16:00,7656,,,
